	SRA	newname
193		smartseq_BladderTissue_bladder_cell_193
194	SRR6520665	smartseq_BladderTissue_bladder_urothelial_cell_194
195		smartseq_BladderTissue_bladder_cell_195
196		smartseq_BladderTissue_bladder_cell_196
197	SRR6520668	smartseq_BladderTissue_bladder_urothelial_cell_197
198	SRR6519618	smartseq_BladderTissue_bladder_urothelial_cell_198
199		smartseq_BladderTissue_bladder_cell_199
200		smartseq_BladderTissue_bladder_cell_200
201	SRR6520670	smartseq_BladderTissue_bladder_urothelial_cell_201
202		smartseq_BladderTissue_bladder_cell_202
203		smartseq_BladderTissue_bladder_cell_203
204	SRR6520672	smartseq_BladderTissue_bladder_urothelial_cell_204
205	SRR6521852	smartseq_BladderTissue_bladder_cell_205
206	SRR6521591	smartseq_BladderTissue_bladder_urothelial_cell_206
207		smartseq_BladderTissue_bladder_urothelial_cell_207
208		smartseq_BladderTissue_bladder_urothelial_cell_208
209	SRR6520674	smartseq_BladderTissue_bladder_urothelial_cell_209
210	SRR6521593	smartseq_BladderTissue_bladder_urothelial_cell_210
211	SRR6519620	smartseq_BladderTissue_bladder_urothelial_cell_211
212		smartseq_BladderTissue_bladder_urothelial_cell_212
213		smartseq_BladderTissue_bladder_urothelial_cell_213
214	SRR6520676	smartseq_BladderTissue_bladder_urothelial_cell_214
215	SRR6519624	smartseq_BladderTissue_bladder_urothelial_cell_215
216		smartseq_BladderTissue_bladder_urothelial_cell_216
217		smartseq_BladderTissue_bladder_urothelial_cell_217
218	SRR6520679	smartseq_BladderTissue_bladder_urothelial_cell_218
219		smartseq_BladderTissue_bladder_urothelial_cell_219
220		smartseq_BladderTissue_bladder_urothelial_cell_220
221	SRR6520681	smartseq_BladderTissue_bladder_urothelial_cell_221
222		smartseq_BladderTissue_bladder_urothelial_cell_222
223		smartseq_BladderTissue_bladder_urothelial_cell_223
224	SRR6520683	smartseq_BladderTissue_bladder_urothelial_cell_224
225	SRR6521675	smartseq_BladderTissue_bladder_cell_225
226		smartseq_BladderTissue_bladder_cell_226
227		smartseq_BladderTissue_bladder_cell_227
228	SRR6520648	smartseq_BladderTissue_bladder_cell_228
229	SRR6521602	smartseq_BladderTissue_bladder_urothelial_cell_229
230		smartseq_BladderTissue_bladder_urothelial_cell_230
231		smartseq_BladderTissue_bladder_urothelial_cell_231
232	SRR6520685	smartseq_BladderTissue_bladder_urothelial_cell_232
233		smartseq_BladderTissue_bladder_urothelial_cell_233
234		smartseq_BladderTissue_bladder_urothelial_cell_234
235	SRR6520687	smartseq_BladderTissue_bladder_urothelial_cell_235
236	SRR6521606	smartseq_BladderTissue_bladder_urothelial_cell_236
237		smartseq_BladderTissue_bladder_urothelial_cell_237
238		smartseq_BladderTissue_bladder_urothelial_cell_238
239	SRR6521697	smartseq_BladderTissue_bladder_cell_239
240		smartseq_BladderTissue_bladder_cell_240
241		smartseq_BladderTissue_bladder_cell_241
242	SRR6520650	smartseq_BladderTissue_bladder_cell_242
